simulation_name,OsloAeroSec,OsloAero$_{def}$,OsloAero$_{imp}$,OsloAero$_{gord}$,OsloAeroSec$_{gord}$,OsloAeroSec$_{aer2014}$,OsloAero$_{impaer2014}$,OsloAero$_{defaer2014}$,OsloAeroSec$_{elvoc}$,OsloAeroSec$_{svoc}$
ctrl,SECTv21_ctrl_koagD,noSECTv21_default_dd,noSECTv21_ox_ricc_dd,,,,,,,
incYield,SECTv21_incY,noSECTv21_def_incY,noSECTv21_ox_ricc_incY,,,,,,,
decYield,SECTv21_decY,noSECTv21_def_decY,noSECTv21_ox_ricc_decY,,,,,,,
incSO2,SECTv21_incSO2,noSECTv21_def_incSO2,noSECTv21_ox_ricc_incSO2,,,,,,,
decSO2,SECTv21_decSO2,noSECTv21_def_decSO2,noSECTv21_ox_ricc_decSO2,,,,,,,
incNuc,SECTv21_incNuc,noSECTv21_def_incNuc,noSECTv21_ox_ricc_incNuc,,,,,,,
decNuc,SECTv21_decNuc,noSECTv21_def_decNuc,noSECTv21_ox_ricc_decNuc,,,,,,,
bins3,SECTv21_nb3,,,,,,,,,
minD3,SECTv21_mind3,,,,,,,,,
PI,NF1850_SECT_ctrl,NF1850_noSECT_def,NF1850_noSECT_ox_ricc,NF1850_noSECT_ox_gord,NF1850_SECT_gord,NF1850_SECT_ctrl,NF1850_noSECT_ox_ricc,NF1850_noSECT_def,NF1850_SECT_elvoc_smax,NF1850_SECT_svoc_smax
PIaerPD,NF1850_aeroxid2014_SECT_ctrl,NF1850_aeroxid2014_noSECT_def,NF1850_aeroxid2014_noSECT_ox_ricc,NF1850_aeroxid2014_noSECT_ox_ricc_test_gordon,NF1850_aeroxid2014_SECT_gord,NF1850_aero2014_SECT_ctrl,NF1850_aero2014_noSECT_ox_ricc,NF1850_aero2014_noSECT_def,NF1850_aeroxid2014_SECT_elvoc_smax,NF1850_aeroxid2014_SECT_svoc_smax
PD,NF1850_aeroxid2014_SECT_ctrl,NF1850_aeroxid2014_noSECT_def,NF1850_aeroxid2014_noSECT_ox_ricc,NF1850_aeroxid2014_noSECT_ox_ricc_test_gordon,NF1850_aeroxid2014_SECT_gord,NF1850_aero2014_SECT_ctrl,NF1850_aero2014_noSECT_ox_ricc,NF1850_aero2014_noSECT_def,NF1850_aeroxid2014_SECT_elvoc_smax,NF1850_aeroxid2014_SECT_svoc_smax
PI$_{fbvoc}$,NF1850_fbvoc_SECT_ctrl,NF1850_fbvoc_noSECT_def,NF1850_fbvoc_noSECT_ox_ricc,NF1850_fbvoc_noSECT_ox_gord,,,,,,
PIaerPD$_{fbvoc}$,NF1850_aeroxid2014_fbvoc_SECT_ctrl,NF1850_aeroxid2014_fbvoc_noSECT_def,NF1850_aeroxid2014_fbvoc_noSECT_ox_ricc,,,,,,,
PIaePD,NF1850_aero2014_SECT_ctrl,NF1850_aero2014_noSECT_def,NF1850_aero2014_noSECT_ox_ricc,NF1850_aeroxid2014_noSECT_ox_ricc_test_gordon,NF1850_aero_SECT_gord,,,,
PI_smx,NF1850_SECT_ctrl_smax,NF1850_noSECT_def_smax,NF1850_noSECT_ox_ricc_smax,NF1850_noSECT_ox_gord_smax,NF1850_SECT_gord_smax,NF1850_SECT_ctrl_smax,NF1850_noSECT_ox_ricc_smax,NF1850_noSECT_def_smax,NF1850_SECT_elvoc_smax,NF1850_SECT_svoc_smax
PD_smx,NF1850_aeroxid2014_SECT_ctrl_smax,NF1850_aeroxid2014_noSECT_def_smax,NF1850_aeroxid2014_noSECT_ox_ricc_smax,NF1850_aeroxid2014_noSECT_ox_ricc_test_gordon_smax,NF1850_aeroxid2014_SECT_gord_smax,NF1850_aero2014_SECT_ctrl_smax,NF1850_aero2014_noSECT_ox_ricc_smax,NF1850_aero2014_noSECT_def_smax,NF1850_aeroxid2014_SECT_elvoc_smax,NF1850_aeroxid2014_SECT_svoc_smax
